"";"w";"p"
"975";55;63
"989";55;39
"7";56;53
"85";56;45
"169";56;2
"284";56;69
"372";56;31
"517";56;26
"571";56;83
"572";56;80
"610";56;56
"638";56;14
"952";56;95
"956";56;78
"981";56;4
"77";57;30
"144";57;93
"189";57;13
"209";57;90
"529";57;53
"619";57;55
"826";57;57
"45";58;6
"54";58;25
"93";58;16
"135";58;36
"275";58;57
"327";58;31
"442";58;27
"500";58;100
"633";58;23
"645";58;7
"698";58;32
"765";58;80
"794";58;67
"892";58;51
"900";58;22
"908";58;35
"59";59;36
"83";59;15
"313";59;95
"557";59;55
"560";59;76
"566";59;1
"730";59;24
"829";59;44
"934";59;11
"947";59;71
"997";59;6
"998";59;29
"200";60;84
"237";60;95
"314";60;5
"615";60;84
"624";60;47
"761";60;24
"979";60;90
"985";60;11
"138";61;47
"160";61;84
"247";61;27
"470";61;64
"487";61;38
"519";61;51
"538";61;44
"544";61;25
"552";61;37
"595";61;27
"607";61;57
"671";61;66
"901";61;18
"153";62;48
"261";62;69
"280";62;37
"375";62;68
"495";62;62
"556";62;5
"561";62;36
"592";62;64
"656";62;15
"712";62;37
"988";62;73
"151";63;47
"397";63;46
"461";63;10
"513";63;77
"548";63;30
"757";63;16
"776";63;5
"993";63;75
"19";64;26
"260";64;43
"449";64;52
"459";64;14
"489";64;3
"1";65;37
"226";65;35
"320";65;63
"446";65;82
"454";65;89
"501";65;96
"657";65;78
"792";65;99
"799";65;75
"902";65;40
"46";66;93
"49";66;14
"71";66;32
"194";66;3
"370";66;13
"527";66;10
"576";66;47
"718";66;96
"762";66;32
"764";66;90
"836";66;1
"910";66;90
"959";66;45
"983";66;92
"185";67;28
"215";67;77
"285";67;41
"409";67;43
"425";67;42
"502";67;26
"531";67;78
"581";67;56
"666";67;16
"960";67;41
"967";67;56
"61";68;53
"127";68;13
"147";68;29
"186";68;81
"262";68;96
"333";68;75
"355";68;82
"388";68;86
"694";68;56
"755";68;99
"33";69;74
"187";69;49
"229";69;87
"348";69;86
"490";69;89
"649";69;59
"763";69;2
"832";69;90
"994";69;66
"245";70;16
"385";70;17
"771";70;18
"824";70;28
"895";70;97
"897";70;97
"907";70;9
"8";71;13
"378";71;62
"532";71;33
"725";71;40
"750";71;55
"914";71;82
"928";71;43
"987";71;92
"43";72;58
"89";72;82
"266";72;80
"286";72;72
"305";72;16
"325";72;9
"334";72;14
"386";72;75
"396";72;40
"462";72;1
"604";72;55
"696";72;86
"713";72;87
"766";72;16
"935";72;61
"91";73;99
"299";73;88
"369";73;25
"481";73;87
"608";73;43
"631";73;61
"844";73;37
"865";73;78
"937";73;14
"107";74;93
"662";74;64
"758";74;17
"972";74;69
"41";75;52
"178";75;92
"207";75;43
"213";75;66
"224";75;4
"276";75;65
"525";75;8
"795";75;94
"797";75;81
"850";75;62
"6";76;31
"74";76;40
"162";76;75
"165";76;21
"214";76;89
"289";76;69
"293";76;83
"465";76;86
"620";76;15
"646";76;92
"738";76;4
"759";76;55
"858";76;23
"970";76;7
"103";77;96
"123";77;27
"643";77;17
"654";77;34
"728";77;35
"847";77;46
"896";77;63
"287";78;49
"352";78;97
"399";78;43
"574";78;8
"611";78;91
"719";78;81
"726";78;31
"742";78;42
"744";78;74
"846";78;92
"27";79;37
"38";79;71
"219";79;92
"252";79;40
"612";79;24
"625";79;97
"641";79;95
"971";79;41
"10";80;61
"104";80;47
"211";80;30
"220";80;31
"443";80;61
"965";80;76
"980";80;5
"986";80;55
"9";81;37
"39";81;15
"50";81;87
"204";81;26
"439";81;92
"528";81;55
"602";81;57
"672";81;98
"748";81;6
"18";82;12
"364";82;14
"383";82;95
"476";82;36
"628";82;78
"767";82;72
"136";83;15
"172";83;23
"234";83;83
"269";83;73
"450";83;83
"469";83;93
"530";83;29
"868";83;54
"920";83;42
"244";84;36
"368";84;97
"382";84;49
"400";84;63
"663";84;92
"877";84;96
"878";84;9
"912";84;29
"996";84;76
"97";85;11
"173";85;54
"307";85;11
"344";85;43
"473";85;76
"522";85;13
"670";85;77
"692";85;60
"855";85;6
"874";85;55
"930";85;72
"75";86;37
"79";86;60
"175";86;34
"210";86;62
"279";86;25
"653";86;16
"682";86;22
"816";86;69
"866";86;75
"904";86;43
"943";86;42
"70";87;25
"142";87;91
"166";87;1
"177";87;73
"197";87;76
"303";87;50
"408";87;1
"447";87;6
"515";87;26
"580";87;89
"640";87;62
"710";87;3
"905";87;81
"977";87;41
"371";88;22
"477";88;12
"496";88;63
"705";88;9
"727";88;46
"746";88;30
"903";88;33
"1000";88;43
"343";89;9
"353";89;68
"391";89;13
"435";89;34
"491";89;46
"562";89;59
"716";89;51
"782";89;68
"854";89;71
"872";89;42
"884";89;47
"48";90;17
"87";90;1
"222";90;71
"225";90;30
"300";90;14
"464";90;19
"504";90;74
"623";90;31
"880";90;72
"964";90;78
"12";91;24
"58";91;31
"76";91;64
"398";91;91
"404";91;8
"432";91;62
"526";91;63
"652";91;70
"690";91;54
"774";91;50
"789";91;18
"842";91;19
"125";92;48
"420";92;99
"474";92;72
"616";92;29
"828";92;13
"973";92;50
"11";93;92
"90";93;24
"96";93;3
"116";93;46
"362";93;34
"549";93;33
"559";93;28
"784";93;58
"98";94;8
"101";94;3
"108";94;98
"298";94;56
"326";94;69
"339";94;13
"377";94;31
"393";94;23
"471";94;13
"558";94;37
"691";94;71
"56";95;28
"62";95;80
"148";95;93
"171";95;53
"254";95;66
"267";95;14
"270";95;12
"351";95;15
"419";95;29
"422";95;84
"424";95;45
"533";95;18
"545";95;44
"609";95;59
"685";95;36
"693";95;29
"823";95;16
"922";95;9
"16";96;69
"258";96;11
"433";96;1
"563";96;59
"630";96;83
"636";96;14
"644";96;18
"769";96;99
"785";96;22
"22";97;13
"47";97;67
"51";97;34
"65";97;45
"182";97;95
"255";97;11
"379";97;19
"740";97;17
"931";97;68
"32";98;71
"156";98;85
"331";98;70
"358";98;71
"543";98;75
"681";98;23
"790";98;17
"811";98;4
"839";98;100
"887";98;38
"963";98;36
"306";99;68
"335";99;47
"445";99;47
"460";99;48
"667";99;41
"95";100;87
"235";100;44
"243";100;46
"350";100;44
"565";100;22
"629";100;99
"814";100;96
"837";100;85
"838";100;63
"876";100;48
"925";100;34
