"";"w";"p"
"899";54;615
"1041";54;440
"2626";54;665
"3577";54;90
"4446";54;942
"388";55;578
"581";55;960
"630";55;102
"1540";55;267
"1604";55;576
"1802";55;399
"2531";55;519
"3328";55;188
"4420";55;95
"4806";55;155
"295";56;719
"1248";56;464
"1319";56;718
"3689";56;479
"4129";56;425
"4236";56;392
"4292";56;296
"1176";57;208
"1787";57;343
"3460";57;241
"4576";57;713
"163";58;606
"436";58;529
"1298";58;145
"1532";58;175
"3795";58;143
"4471";58;470
"314";59;32
"3081";59;364
"3504";59;544
"4514";59;215
"253";60;763
"1179";60;663
"1521";60;570
"2030";60;88
"2160";60;334
"2278";60;569
"2550";60;852
"2744";60;53
"3029";60;50
"3248";60;809
"3264";60;858
"3734";60;504
"3829";60;913
"3928";60;983
"4905";60;833
"383";61;209
"1314";61;314
"1572";61;489
"2523";61;117
"2882";61;294
"4017";61;346
"4376";61;144
"4923";61;855
"902";62;95
"1686";62;233
"3549";62;167
"1357";63;888
"2244";63;19
"2456";63;924
"2557";63;238
"2981";63;728
"3066";63;74
"3349";63;256
"4121";63;221
"4169";63;601
"17";64;799
"788";64;511
"842";64;944
"1046";64;656
"2023";64;388
"2299";64;324
"3629";64;453
"334";65;70
"410";65;862
"1118";65;586
"3728";65;585
"85";66;589
"2746";66;939
"4190";66;61
"1593";67;178
"4316";67;907
"4727";67;54
"142";68;648
"2681";68;663
"3701";68;110
"4332";68;333
"4482";68;231
"4672";68;337
"346";69;469
"367";69;779
"3215";69;641
"500";70;214
"903";70;805
"1701";70;905
"3514";70;273
"4064";70;848
"4628";70;62
"4726";70;41
"2809";71;364
"3336";71;33
"3837";71;961
"4985";72;843
"89";73;136
"1537";73;898
"2452";73;579
"2480";73;498
"3872";73;447
"202";74;718
"835";74;904
"1476";74;257
"1873";74;924
"2496";74;973
"2640";74;873
"3045";74;555
"3883";74;79
"3885";74;811
"4828";74;611
"268";75;896
"1565";75;459
"2600";75;472
"3405";75;431
"3540";75;540
"2597";76;397
"353";77;118
"778";77;367
"882";77;316
"1028";77;903
"1440";77;963
"1586";77;330
"1640";77;156
"2081";77;670
"2918";77;824
"4327";77;677
"4387";77;437
"1249";78;396
"1451";78;921
"2138";78;512
"2332";78;184
"3325";78;748
"4981";78;704
"352";79;675
"936";79;10
"1605";79;9
"2401";79;73
"447";80;493
"551";80;43
"3646";80;164
"4610";80;484
"971";81;764
"1250";81;759
"2727";81;509
"3995";81;320
"4042";81;351
"4745";81;47
"4746";81;339
"126";82;383
"165";82;233
"203";82;689
"877";82;84
"2353";82;233
"3811";82;207
"4498";82;731
"4620";82;413
"145";83;440
"978";83;290
"1441";83;830
"2034";83;607
"3339";83;367
"4384";83;165
"4497";83;286
"4782";83;318
"2485";84;307
"3249";84;542
"3387";84;21
"3594";85;463
"1330";86;882
"1331";86;79
"2495";86;60
"4152";86;235
"766";87;55
"2756";87;211
"3110";87;561
"2264";88;742
"2272";88;942
"1192";89;800
"1888";89;861
"3398";89;936
"456";90;834
"2259";90;205
"2980";90;893
"3446";90;860
"4023";90;60
"4310";90;962
"4444";90;316
"4998";90;180
"2150";91;38
"2211";91;754
"2646";91;323
"4404";91;663
"4577";91;398
"343";92;572
"1405";92;330
"1782";92;717
"3794";92;934
"3939";92;675
"4100";92;636
"4919";92;943
"207";93;895
"1219";93;819
"1824";93;254
"2300";93;601
"2529";93;339
"2904";93;975
"3372";93;141
"3615";93;695
"3817";93;422
"4406";93;399
"4409";93;866
"252";94;966
"1368";94;708
"3803";94;179
"4477";94;40
"4589";94;47
"913";95;329
"935";95;323
"2414";95;587
"2723";95;239
"3760";95;320
"4484";95;54
"4595";95;163
"1924";96;145
"2292";96;247
"2957";96;365
"3250";96;349
"3251";96;601
"3572";96;367
"3595";96;425
"3669";96;244
"3839";96;539
"4436";96;954
"4461";96;707
"4571";96;944
"277";97;117
"866";97;175
"676";98;34
"841";98;968
"1616";98;685
"705";99;917
"1057";99;744
"1136";99;297
"1557";99;790
"2585";99;83
"3530";99;3
"4554";99;854
"4728";99;135
"38";100;866
"149";100;872
"1123";100;932
"1210";100;685
"4629";100;152
"4820";100;680
"1080";101;382
"1232";101;655
"1672";101;511
"2061";101;160
"3182";101;728
"3575";101;848
"3709";101;160
"4242";101;165
"4609";101;376
"1493";102;235
"2335";102;803
"2406";102;973
"4009";102;7
"158";103;273
"920";103;43
"1878";103;558
"2077";103;255
"3825";103;940
"3897";103;60
"4578";103;840
"310";104;384
"645";104;382
"981";104;891
"1885";104;193
"2591";104;542
"3059";104;814
"4041";104;505
"580";105;56
"937";105;504
"2263";105;529
"182";106;245
"657";106;831
"3171";106;314
"1412";107;38
"1690";107;3
"2100";107;723
"3622";107;642
"3979";107;348
"718";108;579
"1402";108;720
"1543";108;569
"1758";108;114
"3477";108;167
"4133";108;987
"4901";108;352
"938";109;139
"2862";109;945
"4348";109;532
"3773";110;18
"4168";110;255
"1026";111;618
"3683";111;349
"2851";112;594
"3494";112;18
"146";113;411
"147";113;183
"222";113;297
"237";113;522
"1839";113;538
"2586";113;811
"2663";113;368
"3278";113;915
"4044";113;56
"3024";114;872
"3500";114;292
"3523";114;202
"3909";114;50
"451";115;313
"1962";115;245
"2707";115;222
"3729";115;600
"4097";115;148
"301";116;425
"693";116;977
"2459";116;49
"2589";116;52
"3158";116;339
"316";117;94
"347";117;259
"1698";117;847
"2031";117;363
"3030";117;166
"3210";117;860
"3752";117;302
"3943";117;770
"468";118;18
"823";118;337
"1124";118;869
"1866";118;783
"1969";118;997
"2644";118;657
"2770";118;146
"3516";118;854
"172";119;484
"2844";119;232
"2871";119;462
"232";120;261
"619";120;746
"1986";120;952
"3174";120;266
"387";121;228
"1485";121;838
"2373";121;949
"2668";121;870
"2731";121;526
"2084";122;711
"2645";122;237
"2911";122;479
"3040";122;931
"4157";122;472
"758";123;450
"4144";123;657
"4847";123;16
"1681";124;780
"4091";124;480
"4872";124;284
"707";125;825
"1050";125;8
"1253";125;16
"1370";125;93
"1747";125;614
"2236";125;823
"4663";125;198
"4669";125;311
"4964";125;971
"681";126;203
"1741";126;412
"1972";126;369
"3223";126;112
"3543";126;311
"3902";127;31
"3347";128;232
"3443";128;337
"3556";128;202
"4182";128;135
"1150";129;615
"1325";129;829
"1581";129;671
"2095";129;242
"3587";129;428
"3820";129;797
"480";130;958
"1063";130;748
"2123";130;940
"4172";130;3
"523";131;704
"661";131;252
"1754";131;459
"4265";131;164
"4939";131;549
"264";132;317
"1779";132;497
"2041";132;433
"2395";132;645
"2595";132;938
"365";133;829
"717";133;462
"1089";133;620
"2780";133;322
"1817";134;200
"1910";134;263
"2675";134;363
"2680";134;621
"2687";134;622
"3809";134;513
"4972";134;879
"298";135;198
"656";135;222
"1811";135;695
"1858";135;260
"2011";135;411
"2340";135;93
"4360";135;871
"4642";135;588
"144";136;620
"4543";136;799
"4742";136;826
"210";137;3
"966";137;152
"2963";137;70
"3323";137;772
"3612";137;884
"3895";137;965
"809";138;832
"3225";138;209
"404";139;941
"1308";139;933
"2240";139;670
"2385";139;254
"743";140;71
"4558";140;787
"1602";141;36
"2056";141;647
"2447";141;957
"4162";141;736
"161";142;291
"209";142;219
"1530";142;362
"2314";142;425
"3019";142;656
"3641";142;830
"487";143;493
"2396";143;245
"4027";143;190
"548";144;663
"710";144;997
"860";144;124
"934";144;62
"1576";144;339
"1954";144;306
"2434";145;582
"3920";145;191
"4003";145;869
"4769";145;61
"233";146;529
"959";146;177
"3474";146;357
"3994";146;682
"216";147;210
"963";147;112
"2119";147;883
"2161";147;475
"2686";147;742
"4854";147;189
"1200";148;786
"3633";148;468
"4566";148;171
"458";149;626
"1780";149;839
"2134";149;8
"2328";149;829
"2689";149;753
"3642";149;393
"3745";149;776
"1320";150;254
"2522";150;332
"2712";150;527
"3561";150;668
"4553";150;914
"4772";150;393
"439";151;389
"1463";151;909
"2243";151;287
"2375";151;400
"4215";151;175
"962";152;301
"4057";152;540
"4298";152;811
"116";153;790
"399";153;704
"3445";153;893
"4247";153;237
"4385";153;132
"1699";154;129
"3058";154;719
"3350";154;158
"3455";154;177
"3557";154;306
"626";155;730
"2460";155;320
"2670";155;779
"668";156;954
"1148";156;47
"1174";156;622
"1375";156;582
"3623";156;314
"3942";156;983
"4819";156;1
"2936";157;255
"3175";157;924
"4166";157;729
"329";158;541
"463";158;11
"1523";158;521
"1623";158;513
"1637";158;857
"3193";158;93
"241";159;577
"695";159;831
"3177";159;198
"3864";159;797
"4357";159;694
"269";160;112
"667";160;213
"2660";160;825
"3946";160;430
"4016";160;75
"157";161;774
"745";161;860
"1886";161;186
"2611";161;448
"386";162;642
"2577";162;309
"3303";162;678
"2874";163;977
"3798";163;74
"2010";164;647
"2924";164;884
"3478";164;271
"4229";164;306
"4597";164;786
"246";165;128
"1383";165;353
"2040";165;456
"2267";165;450
"2985";165;371
"3289";165;327
"3602";165;199
"3954";165;399
"4686";165;690
"4773";165;624
"628";166;130
"1213";166;268
"1703";166;986
"3694";166;354
"2900";167;354
"3971";167;367
"417";168;120
"4391";168;592
"1209";169;352
"2620";169;731
"4035";169;192
"4142";169;65
"90";170;770
"807";170;531
"1107";170;374
"1546";170;45
"1832";170;499
"2108";170;237
"3666";170;195
"58";171;364
"1454";171;934
"2213";171;60
"2806";171;883
"4882";171;859
"1668";172;882
"3122";172;991
"4004";172;375
"870";173;549
"1024";173;375
"1655";173;180
"2713";173;477
"3634";173;962
"304";174;675
"1416";174;329
"3326";174;71
"3550";174;292
"3783";174;758
"351";175;118
"1333";175;202
"2098";175;647
"2361";175;966
"4161";175;983
"42";176;171
"1205";176;420
"1666";176;736
"1768";176;573
"1844";176;750
"2284";176;885
"4881";176;865
"32";177;624
"459";177;905
"1965";177;223
"3686";177;255
"3851";177;292
"4197";177;513
"4318";177;491
"166";178;995
"173";178;46
"849";178;143
"1401";178;243
"4096";178;966
"563";179;820
"2516";179;19
"2983";179;714
"4084";179;525
"4702";179;954
"4890";179;293
"263";180;656
"1984";180;518
"2358";180;128
"3108";180;606
"3124";180;462
"4180";180;463
"4719";180;363
"2444";181;336
"3224";181;109
"4299";181;177
"687";182;55
"995";182;906
"1737";182;203
"2781";182;404
"3827";182;585
"620";183;466
"874";183;627
"1090";183;815
"2511";183;772
"2733";183;286
"2913";183;239
"769";184;941
"781";184;633
"1497";184;332
"1498";184;152
"1526";184;109
"2014";184;974
"2752";184;838
"3000";184;790
"3184";184;333
"3316";184;898
"108";185;249
"1914";185;121
"3544";185;696
"592";186;659
"2302";186;96
"2735";186;913
"2879";186;250
"3218";186;610
"3327";186;389
"3626";186;74
"4986";186;681
"1203";187;412
"1345";187;655
"2344";187;843
"2574";187;272
"2825";187;961
"3416";188;179
"4878";188;204
"2025";189;85
"3495";189;335
"4351";189;3
"283";190;742
"1297";190;86
"1822";190;28
"3695";190;346
"3987";190;204
"4286";190;787
"79";191;742
"1022";191;104
"1907";191;634
"2239";191;884
"3299";191;69
"3579";191;623
"3746";191;698
"4698";191;787
"637";192;201
"2016";192;107
"2049";192;297
"2286";192;583
"47";193;3
"49";193;42
"873";193;75
"2505";193;621
"4808";193;569
"2665";194;370
"3565";194;503
"1304";195;657
"2172";195;207
"3904";195;826
"3985";195;533
"4234";195;844
"4308";195;279
"33";196;580
"201";196;794
"4685";196;33
"4955";196;860
"1627";197;702
"2068";197;842
"3090";197;888
"4431";197;203
"4594";197;326
"265";198;395
"1000";198;938
"1185";198;463
"1258";198;904
"2026";198;885
"2915";198;310
"4055";198;62
"4706";198;148
"1197";199;118
"1837";199;201
"2182";199;117
"2210";199;418
"3120";199;810
"3462";199;406
"3900";199;595
"4122";199;431
"4599";199;296
"3479";200;568
"3889";200;241
"4668";200;754
"178";201;528
"1594";201;485
"2185";201;324
"3989";201;162
"28";202;936
"1765";202;548
"1953";202;458
"2765";202;333
"4561";202;722
"1571";203;608
"2122";203;625
"2308";203;422
"3643";203;69
"3973";203;244
"4720";203;369
"413";204;827
"1894";204;582
"2001";204;834
"2246";204;100
"3747";204;67
"4918";204;475
"1685";205;24
"2720";205;649
"2736";205;456
"2939";205;601
"3022";205;876
"3279";205;797
"3702";205;594
"2045";206;636
"2195";206;196
"2995";206;236
"3498";206;679
"3501";206;106
"193";207;419
"804";207;284
"4046";207;714
"22";208;523
"539";208;683
"3849";208;339
"3859";208;14
"4174";208;635
"4930";208;546
"1563";209;824
"2167";209;758
"3630";209;809
"3857";209;672
"4031";209;366
"4368";210;693
"294";211;791
"558";211;87
"1067";211;59
"1705";211;650
"1975";211;851
"2573";211;816
"2843";211;630
"3112";211;202
"4205";211;532
"4450";211;762
"4716";211;624
"826";212;702
"1503";212;410
"1524";212;602
"2578";212;769
"2782";212;298
"4393";212;603
"775";213;271
"4475";213;913
"4605";213;914
"106";214;837
"1636";214;823
"3052";214;746
"3403";214;115
"4346";214;764
"1168";215;449
"2334";215;978
"3324";215;257
"4276";215;284
"398";216;219
"489";216;641
"603";216;177
"918";216;410
"1032";216;491
"1114";216;700
"1382";216;227
"3053";216;204
"4486";216;696
"4790";216;870
"4975";216;86
"950";217;290
"3207";217;672
"4241";217;988
"4283";217;517
"2183";218;904
"3222";218;784
"3699";218;217
"4775";218;625
"4843";219;412
"1311";220;328
"1407";220;88
"1833";220;536
"2601";220;95
"4416";220;694
"4522";220;107
"8";221;609
"435";221;157
"1254";221;985
"3855";221;296
"3925";221;954
"4094";221;91
"2991";222;769
"3574";222;699
"1730";223;594
"2932";223;122
"3168";223;111
"1484";224;846
"1579";224;571
"3934";224;749
"4191";224;713
"4661";224;625
"1632";225;210
"2397";225;941
"3035";225;124
"3502";225;753
"11";226;304
"816";226;864
"2238";226;796
"2504";226;194
"2617";226;513
"2943";226;281
"4812";226;932
"784";227;643
"1083";227;575
"1671";227;890
"1870";227;722
"2787";227;571
"4721";227;250
"4837";227;616
"1265";228;236
"1612";228;428
"2318";228;948
"3823";228;991
"4164";228;795
"1307";229;438
"1545";229;809
"2069";229;189
"3280";229;133
"4302";229;562
"4430";229;158
"748";230;117
"1184";230;532
"1631";230;186
"2038";230;603
"2462";230;70
"3433";230;784
"3570";230;86
"3583";230;575
"3843";230;740
"4520";230;192
"4729";230;687
"4759";230;155
"4979";230;850
"196";231;911
"828";231;401
"1143";231;711
"1262";231;397
"3318";231;701
"4519";231;587
"1903";232;977
"1966";232;281
"2237";232;17
"4412";232;247
"4852";232;750
"492";233;761
"1221";233;409
"2888";233;427
"3006";233;57
"4908";233;75
"65";234;387
"168";234;989
"744";234;619
"945";234;460
"1266";234;377
"4204";234;928
"4512";234;513
"1097";235;692
"1358";235;91
"3560";235;920
"4353";235;49
"519";236;537
"1890";236;273
"1945";236;758
"2247";236;864
"2881";236;165
"3876";236;313
"4615";236;775
"4869";236;99
"4971";236;547
"2290";237;175
"2606";237;531
"3739";237;420
"4037";237;224
"4313";237;847
"4569";237;930
"4584";237;3
"1978";238;228
"3807";238;658
"495";239;517
"1053";239;676
"1328";239;352
"2549";239;131
"886";240;662
"1504";240;214
"1566";240;982
"4792";240;771
"134";241;875
"1813";241;917
"2503";241;99
"3293";241;936
"1947";242;605
"3936";242;212
"3982";242;763
"4402";242;53
"4588";242;864
"15";243;504
"890";243;888
"3344";243;41
"3880";243;592
"4147";243;729
"4779";243;117
"4839";243;952
"4988";243;351
"405";244;801
"1439";244;437
"1861";244;960
"2256";244;936
"3951";244;499
"4945";244;403
"2255";245;674
"3769";245;960
"3990";245;452
"4253";245;227
"629";246;604
"1039";246;765
"1585";246;314
"2594";246;642
"4732";246;467
"2096";247;860
"2998";247;569
"3330";247;28
"287";248;618
"437";248;866
"1778";248;470
"2849";248;922
"3413";248;655
"3789";248;787
"46";249;785
"1977";249;49
"3094";249;865
"3105";249;56
"4762";249;800
"2047";250;438
"2861";250;685
"2901";250;630
"3627";250;462
"3968";250;436
"419";251;527
"1178";251;275
"1929";251;801
"2967";251;367
"3790";251;774
"80";252;688
"537";252;256
"1374";252;464
"2354";252;448
"3453";252;266
"3461";252;261
"4650";252;951
"4802";252;809
"1979";253;922
"3448";253;157
"4123";253;273
"4330";253;801
"4934";253;116
"4948";253;517
"198";254;827
"296";254;649
"382";254;477
"1462";254;788
"4135";254;866
"1075";255;595
"1163";255;947
"1562";255;289
"4086";255;260
"4707";255;626
"4778";255;196
"1480";256;155
"3282";256;151
"4666";256;684
"515";257;462
"1077";257;999
"1373";257;702
"1561";257;528
"3092";257;483
"1876";258;308
"2099";258;618
"2179";258;639
"4124";258;202
"477";259;730
"703";259;366
"786";259;794
"2327";259;747
"3986";259;468
"51";260;420
"194";260;587
"2512";260;982
"2667";260;599
"3422";260;462
"3534";260;284
"36";261;923
"1102";261;335
"3655";261;938
"3708";261;316
"3921";261;125
"4260";261;63
"1414";262;611
"1723";262;322
"2313";262;434
"2449";262;970
"3975";262;131
"261";263;3
"837";263;805
"964";263;132
"2510";263;914
"3524";263;181
"4463";263;350
"4861";263;921
"488";264;515
"3099";264;621
"4203";264;372
"4527";264;462
"454";265;159
"948";265;96
"972";265;528
"1706";265;768
"1781";265;554
"1906";265;329
"1991";265;424
"632";266;23
"893";266;344
"1364";266;640
"3083";266;363
"3590";266;899
"968";267;17
"2166";267;944
"3679";267;978
"4614";267;154
"666";268;133
"2033";268;138
"3488";268;994
"4616";268;402
"357";269;802
"406";269;438
"887";269;281
"2168";269;373
"2536";269;234
"3310";269;27
"3748";269;181
"4109";269;177
"460";270;844
"812";270;909
"1695";270;34
"2018";270;677
"2110";270;303
"3378";270;718
"3621";270;150
"4067";270;530
"4093";270;344
"4529";270;570
"1724";271;457
"1734";271;770
"2654";271;409
"2795";271;418
"2863";271;598
"3955";271;985
"4697";271;653
"4805";271;460
"26";272;628
"567";272;29
"1128";272;152
"1531";272;864
"2633";272;481
"525";273;586
"662";273;380
"670";273;321
"1171";273;366
"2702";273;21
"3563";273;668
"4290";273;803
"4877";273;999
"852";274;156
"1166";274;474
"1882";274;438
"2700";274;334
"3217";275;882
"3308";275;812
"342";276;111
"3266";276;16
"3869";276;790
"4898";276;436
"1285";277;92
"1529";277;967
"3528";277;166
"3581";277;272
"3874";277;592
"4743";277;84
"733";278;451
"799";278;611
"1104";278;873
"2631";278;632
"420";279;14
"1189";279;611
"1622";279;531
"1852";279;170
"2367";279;694
"2464";279;348
"2789";279;340
"2914";279;331
"4653";279;108
"1048";280;604
"3209";280;210
"3945";280;802
"4039";280;412
"272";281;54
"305";282;573
"3297";282;395
"4949";282;40
"777";283;954
"2768";283;688
"2829";283;145
"4922";283;257
"854";284;989
"3281";284;224
"306";285;729
"1025";285;35
"291";286;363
"577";286;259
"911";286;419
"1761";286;112
"2958";287;448
"4546";287;962
"1488";288;93
"2324";288;289
"2807";288;684
"4803";288;668
"584";289;361
"1162";289;460
"1535";289;372
"2303";289;390
"2398";289;368
"4223";289;343
"4075";290;827
"4208";290;83
"713";291;30
"1942";291;985
"2341";291;167
"486";292;575
"1093";292;955
"1970";292;585
"2997";292;950
"3221";292;944
"4294";292;475
"4892";292;837
"326";293;362
"560";293;463
"955";293;545
"1044";293;771
"1805";293;846
"1995";293;784
"4143";293;536
"4423";293;231
"189";294;726
"900";294;304
"977";294;5
"2127";294;483
"2281";294;227
"2584";294;870
"4771";294;509
"4920";294;165
"1194";295;191
"3265";295;191
"3949";295;86
"1074";296;498
"1362";296;723
"2404";296;199
"4483";296;778
"150";297;600
"469";297;820
"482";297;135
"2749";297;829
"4087";297;413
"1645";298;380
"574";299;934
"805";299;728
"1467";299;378
"1963";299;921
"4677";299;740
"188";300;380
"1905";300;116
"1957";300;104
"3589";300;22
"4261";300;579
"4781";300;563
"223";301;21
"2441";301;7
"114";302;983
"491";302;739
"1755";302;643
"2101";302;900
"2457";302;80
"3888";302;448
"4112";302;856
"4744";302;14
"1188";303;484
"1464";303;560
"110";304;647
"292";304;71
"1799";304;337
"2798";304;231
"4232";304;953
"4288";304;473
"4807";304;463
"771";305;829
"1501";305;739
"2820";305;180
"1617";306;394
"1850";306;745
"2792";306;970
"3558";306;555
"760";307;868
"856";307;889
"1042";307;213
"1378";307;577
"3114";307;607
"4937";307;285
"2218";308;307
"3075";308;36
"4211";308;935
"618";310;57
"625";310;865
"2481";310;442
"2880";310;1
"3459";310;332
"1985";311;523
"3260";311;257
"1092";312;461
"1098";312;12
"1182";312;811
"2164";312;839
"3845";312;715
"4354";312;495
"4478";312;8
"641";313;918
"802";313;4
"929";313;856
"1424";313;509
"1512";313;500
"1608";313;51
"3713";313;260
"1438";314;965
"2694";314;341
"3670";314;996
"4369";314;258
"4375";314;699
"107";315;431
"120";315;30
"2636";315;421
"4830";315;385
"140";316;257
"944";316;432
"2274";316;214
"2312";316;575
"2868";316;842
"3929";316;645
"4517";316;100
"2562";317;28
"3295";317;960
"4059";317;555
"4465";317;737
"690";318;871
"986";318;512
"1717";318;630
"1746";318;513
"3778";318;681
"4068";318;280
"4099";318;288
"4799";318;290
"293";319;485
"2133";319;444
"2296";319;28
"4738";319;583
"307";320;11
"23";321;494
"427";321;178
"1643";321;242
"2534";321;916
"2570";321;376
"2576";321;885
"3098";321;675
"3454";321;135
"4700";321;364
"1111";322;781
"1355";322;573
"1638";322;749
"2678";322;1000
"3211";322;562
"3537";322;139
"3906";322;668
"4291";322;351
"4326";322;659
"2759";323;276
"3871";323;634
"2465";324;154
"4001";324;288
"2472";325;507
"3967";325;384
"285";326;445
"450";326;193
"1567";326;106
"2969";326;242
"2992";326;428
"3840";326;241
"3850";326;900
"4188";326;556
"4457";326;522
"41";327;352
"162";327;26
"467";327;371
"2072";327;937
"2909";327;442
"3654";327;883
"3677";327;229
"3725";327;790
"753";328;492
"864";328;895
"2066";328;993
"2507";328;28
"4834";328;973
"153";329;838
"2867";329;969
"3484";329;120
"3784";329;296
"9";330;986
"1081";330;713
"1321";330;235
"2393";330;599
"2612";330;465
"3312";330;360
"4069";330;303
"4424";330;781
"871";331;355
"926";331;582
"1061";331;382
"1433";331;895
"2690";331;672
"3732";331;627
"2448";332;689
"2797";332;535
"2860";332;701
"3584";332;912
"3944";332;473
"4439";332;347
"4748";332;15
"67";333;975
"323";333;275
"1236";333;300
"1664";333;155
"2925";333;58
"2977";333;86
"340";334;753
"1059";334;857
"2950";334;880
"4134";334;437
"4458";334;525
"1031";335;422
"2291";335;648
"2785";335;776
"4011";335;10
"684";336;420
"988";336;622
"1235";336;324
"1904";336;788
"2518";336;266
"4177";336;723
"4459";336;212
"1190";337;288
"1425";337;777
"2227";337;88
"3284";337;237
"3466";337;244
"3684";337;152
"4335";337;188
"4526";337;858
"1237";338;515
"1283";338;590
"3401";338;802
"3559";338;28
"1016";339;65
"1156";339;141
"1191";339;887
"61";340;316
"2704";340;192
"3596";340;496
"4151";340;944
"1584";341;701
"2954";341;909
"3638";341;578
"780";342;673
"3042";342;179
"127";343;15
"461";343;202
"496";343;238
"546";343;666
"1518";343;188
"3847";343;640
"4154";343;719
"4427";343;963
"19";344;185
"1619";344;815
"2442";344;446
"3051";344;279
"3606";344;547
"3675";344;786
"133";345;788
"1580";345;369
"2783";345;238
"3548";345;213
"3609";345;756
"322";346;880
"2527";346;261
"4014";346;674
"317";347;506
"1296";347;540
"2819";347;330
"3775";347;719
"43";348;955
"956";348;672
"1517";348;682
"1621";348;981
"1964";348;575
"2145";348;67
"2962";348;412
"3356";348;53
"1656";349;835
"2184";349;269
"3440";349;523
"3656";349;936
"81";350;535
"247";350;220
"1312";350;259
"1376";350;390
"3085";350;16
"4320";350;750
"1113";351;117
"2029";351;994
"3881";351;366
"245";352;244
"3650";352;337
"4950";352;736
"34";353;911
"3663";353;114
"3735";353;709
