"";"w";"p"
"335";38;27
"348";38;3
"561";38;59
"616";38;69
"683";38;65
"788";38;39
"808";38;18
"907";38;31
"927";38;17
"17";39;103
"24";39;59
"59";39;112
"359";39;47
"511";39;37
"675";39;75
"815";39;71
"947";39;25
"948";39;118
"953";39;7
"29";40;55
"176";40;26
"178";40;119
"183";40;23
"184";40;81
"260";40;10
"320";40;41
"420";40;85
"514";40;39
"569";40;57
"779";40;101
"790";40;59
"799";40;3
"18";41;44
"107";41;76
"108";41;23
"157";41;43
"205";41;120
"229";41;60
"344";41;103
"984";41;75
"16";42;43
"35";42;3
"122";42;8
"333";42;33
"377";42;60
"382";42;86
"451";42;3
"497";42;118
"601";42;138
"633";42;44
"736";42;124
"801";42;83
"972";42;65
"986";42;29
"162";43;53
"171";43;2
"495";43;30
"545";43;75
"607";43;36
"929";43;49
"39";44;121
"91";44;109
"109";44;93
"196";44;93
"384";44;53
"504";44;11
"658";44;43
"745";44;31
"755";44;65
"756";44;37
"954";44;28
"970";44;27
"147";45;50
"314";45;145
"376";45;140
"453";45;11
"552";45;89
"559";45;64
"818";45;82
"89";46;17
"419";46;77
"428";46;36
"708";46;123
"742";46;47
"813";46;37
"835";46;1
"34";47;113
"72";47;13
"110";47;2
"208";47;33
"399";47;116
"575";47;20
"615";47;11
"721";47;59
"836";47;60
"852";47;31
"971";47;141
"19";48;54
"301";48;40
"390";48;100
"482";48;77
"570";48;111
"635";48;71
"637";48;38
"718";48;50
"785";48;147
"921";48;48
"961";48;125
"15";49;90
"281";49;77
"369";49;83
"532";49;131
"542";49;30
"551";49;113
"805";49;140
"915";49;33
"974";49;29
"50";50;72
"145";50;116
"186";50;23
"393";50;108
"444";50;80
"533";50;47
"618";50;6
"654";50;24
"656";50;19
"760";50;142
"769";50;30
"64";51;7
"84";51;82
"277";51;9
"290";51;63
"309";51;46
"387";51;110
"554";51;52
"588";51;76
"861";51;16
"917";51;106
"965";51;8
"983";51;112
"127";52;116
"188";52;128
"819";52;87
"882";52;32
"148";53;116
"149";53;12
"155";53;1
"230";53;132
"345";53;52
"433";53;20
"707";53;122
"757";53;31
"772";53;3
"963";53;27
"210";54;110
"242";54;9
"297";54;46
"611";54;140
"632";54;61
"716";54;131
"816";54;87
"941";54;66
"27";55;49
"92";55;37
"347";55;155
"446";55;64
"521";55;41
"666";55;27
"782";55;60
"783";55;84
"849";55;81
"883";55;46
"967";55;68
"44";56;14
"61";56;150
"78";56;109
"199";56;65
"232";56;75
"380";56;139
"425";56;56
"427";56;91
"489";56;153
"515";56;19
"668";56;42
"687";56;77
"732";56;24
"847";56;142
"867";56;147
"946";56;31
"959";56;53
"968";56;60
"996";56;81
"22";57;63
"261";57;50
"896";57;41
"955";57;45
"42";58;37
"68";58;36
"204";58;2
"343";58;35
"478";58;5
"527";58;113
"555";58;68
"583";58;23
"641";58;30
"649";58;29
"773";58;57
"845";58;112
"30";59;44
"49";59;120
"88";59;111
"266";59;46
"494";59;10
"593";59;88
"662";59;40
"828";59;6
"154";60;74
"194";60;15
"200";60;10
"215";60;139
"352";60;55
"406";60;150
"547";60;62
"780";60;36
"908";60;40
"977";60;40
"20";61;106
"58";61;133
"70";61;86
"161";61;8
"169";61;101
"195";61;133
"207";61;119
"401";61;94
"599";61;55
"679";61;117
"688";61;114
"698";61;8
"778";61;160
"913";61;79
"997";61;69
"74";62;154
"322";62;128
"368";62;136
"481";62;34
"684";62;152
"699";62;1
"910";62;131
"94";63;80
"125";63;52
"136";63;90
"142";63;121
"182";63;121
"263";63;23
"422";63;141
"441";63;58
"510";63;83
"581";63;36
"890";63;48
"106";64;35
"172";64;7
"175";64;114
"198";64;81
"213";64;49
"239";64;152
"244";64;33
"358";64;63
"430";64;129
"538";64;61
"585";64;125
"586";64;87
"634";64;160
"750";64;146
"761";64;57
"887";64;36
"944";64;76
"51";65;114
"141";65;68
"360";65;105
"469";65;140
"500";65;135
"566";65;140
"580";65;86
"657";65;103
"722";65;117
"844";65;38
"962";65;156
"81";66;148
"150";66;144
"254";66;121
"308";66;13
"324";66;145
"508";66;52
"604";66;94
"665";66;126
"735";66;133
"740";66;91
"117";67;58
"151";67;115
"272";67;46
"303";67;123
"432";67;99
"484";67;143
"848";67;50
"135";68;49
"238";68;25
"356";68;96
"412";68;42
"485";68;71
"568";68;148
"603";68;69
"680";68;69
"696";68;151
"821";68;47
"841";68;65
"950";68;168
"69";69;47
"123";69;111
"173";69;47
"436";69;78
"471";69;161
"474";69;30
"619";69;60
"620";69;51
"630";69;136
"638";69;41
"764";69;13
"823";69;120
"866";69;135
"898";69;101
"960";69;50
"993";69;136
"32";70;94
"52";70;167
"132";70;125
"234";70;145
"439";70;127
"544";70;110
"724";70;93
"857";70;152
"859";70;12
"938";70;10
"60";71;126
"75";71;40
"104";71;13
"140";71;55
"295";71;62
"509";71;154
"531";71;56
"669";71;35
"737";71;80
"912";71;115
"914";71;42
"11";72;78
"383";72;89
"525";72;96
"597";72;21
"598";72;23
"710";72;129
"720";72;60
"794";72;63
"987";72;6
"101";73;92
"278";73;171
"286";73;82
"381";73;23
"530";73;109
"640";73;33
"727";73;170
"758";73;144
"851";73;10
"881";73;43
"31";74;164
"90";74;79
"480";74;156
"548";74;122
"796";74;13
"888";74;14
"980";74;70
"28";75;38
"40";75;146
"112";75;22
"257";75;172
"457";75;141
"667";75;22
"763";75;47
"842";75;91
"897";75;117
"899";75;51
"999";75;52
"177";76;113
"190";76;175
"325";76;28
"379";76;164
"392";76;129
"396";76;46
"403";76;78
"498";76;53
"526";76;97
"535";76;110
"766";76;16
"809";76;18
"834";76;135
"875";76;1
"36";77;112
"62";77;121
"80";77;45
"315";77;116
"391";77;103
"646";77;108
"651";77;113
"663";77;71
"833";77;29
"853";77;131
"925";77;55
"928";77;6
"268";78;114
"270";78;140
"291";78;101
"395";78;10
"423";78;82
"596";78;108
"746";78;43
"98";79;9
"193";79;100
"251";79;58
"276";79;131
"351";79;2
"539";79;9
"622";79;135
"937";79;16
"45";80;131
"201";80;176
"211";80;5
"287";80;37
"294";80;29
"342";80;90
"364";80;25
"424";80;168
"476";80;95
"612";80;17
"636";80;156
"739";80;6
"751";80;86
"903";80;29
"25";81;59
"115";81;168
"143";81;58
"386";81;75
"786";81;159
"969";81;58
"252";82;114
"296";82;115
"479";82;172
"493";82;51
"624";82;50
"712";82;140
"741";82;178
"862";82;43
"922";82;130
"160";83;151
"220";83;95
"273";83;67
"323";83;143
"375";83;58
"402";83;3
"483";83;111
"490";83;87
"523";83;84
"574";83;25
"576";83;85
"594";83;159
"748";83;111
"822";83;41
"8";84;52
"93";84;80
"271";84;28
"407";84;70
"440";84;104
"452";84;84
"705";84;45
"744";84;76
"768";84;111
"806";84;159
"933";84;9
"951";84;112
"65";85;171
"86";85;166
"105";85;33
"156";85;168
"185";85;19
"250";85;166
"332";85;116
"467";85;30
"664";85;85
"715";85;84
"723";85;118
"747";85;127
"846";85;173
"880";85;184
"2";86;156
"4";86;162
"26";86;96
"133";86;11
"279";86;65
"341";86;14
"357";86;58
"418";86;26
"553";86;117
"587";86;48
"609";86;108
"647";86;125
"714";86;39
"904";86;86
"964";86;89
"245";87;78
"501";87;44
"546";87;15
"655";87;99
"754";87;140
"802";87;29
"824";87;92
"916";87;50
"995";87;144
"96";88;176
"153";88;153
"372";88;51
"812";88;166
"919";88;138
"949";88;15
"3";89;52
"312";89;40
"328";89;98
"413";89;65
"717";89;118
"733";89;124
"7";90;58
"265";90;81
"370";90;9
"458";90;6
"492";90;15
"728";90;19
"874";90;176
"940";90;35
"943";90;13
"33";91;16
"212";91;115
"275";91;87
"289";91;170
"459";91;21
"543";91;113
"671";91;14
"704";91;166
"734";91;178
"830";91;76
"840";91;112
"976";91;150
"14";92;83
"83";92;33
"255";92;191
"282";92;113
"385";92;84
"694";92;45
"703";92;38
"804";92;68
"869";92;118
"945";92;129
"988";92;37
"450";93;108
"787";93;120
"843";93;37
"911";93;1
"55";94;63
"103";94;146
"164";94;150
"327";94;92
"334";94;175
"394";94;14
"417";94;5
"472";94;166
"516";94;144
"536";94;172
"592";94;46
"625";94;176
"627";94;16
"629";94;90
"895";94;86
"131";95;121
"216";95;135
"313";95;46
"374";95;144
"477";95;88
"513";95;181
"628";95;179
"660";95;162
"702";95;54
"871";95;64
"37";96;13
"302";96;182
"311";96;8
"534";96;100
"777";96;68
"811";96;134
"827";96;66
"864";96;170
"877";96;165
"892";96;156
"918";96;117
"298";97;55
"350";97;108
"455";97;112
"499";97;52
"506";97;180
"814";97;1
"990";97;154
"998";97;43
"73";98;113
"326";98;30
"460";98;1
"577";98;93
"936";98;5
"63";99;41
"111";99;132
"121";99;18
"339";99;74
"512";99;44
"674";99;12
"682";99;178
"975";99;75
"71";100;45
"128";100;8
"170";100;67
"206";100;26
"218";100;93
"473";100;59
"690";100;129
"829";100;70
